month,maximum_rainfall_in_a_day,year,month_only,no_of_rainy_days,total_rainfall
1999-03-01,52.4,1999,3,16.0,181.4
1999-04-01,29.2,1999,4,14.0,88.5
1999-05-01,42.8,1999,5,13.0,157.1
1999-06-01,34.5,1999,6,13.0,103.4
1999-07-01,51.4,1999,7,11.0,225.4
1999-08-01,42.4,1999,8,13.0,204.0
1999-09-01,41.5,1999,9,13.0,125.9
1999-10-01,32.8,1999,10,20.0,205.0
1999-11-01,39.0,1999,11,19.0,241.5
1999-12-01,76.9,1999,12,17.0,340.5
2000-01-01,127.6,2000,1,14.0,275.2
2000-02-01,39.9,2000,2,18.0,237.8
2000-03-01,37.9,2000,3,15.0,238.3
2000-04-01,87.4,2000,4,20.0,311.6
2000-05-01,36.7,2000,5,10.0,96.8
2000-06-01,41.7,2000,6,16.0,157.5
2000-07-01,34.6,2000,7,12.0,116.1
2000-08-01,28.1,2000,8,18.0,113.5
2000-09-01,25.7,2000,9,12.0,81.1
2000-10-01,38.3,2000,10,14.0,120.9
2000-11-01,72.0,2000,11,21.0,385.7
2000-12-01,45.8,2000,12,18.0,236.0
2001-01-01,125.4,2001,1,21.0,425.8
2001-02-01,28.2,2001,2,11.0,86.6
2001-03-01,41.1,2001,3,20.0,297.3
2001-04-01,68.9,2001,4,18.0,203.3
2001-05-01,56.1,2001,5,12.0,164.9
2001-06-01,49.6,2001,6,11.0,137.1
2001-07-01,44.8,2001,7,9.0,111.3
2001-08-01,36.6,2001,8,14.0,158.3
2001-09-01,74.3,2001,9,13.0,162.0
2001-10-01,77.2,2001,10,20.0,252.2
2001-11-01,102.6,2001,11,15.0,175.3
2001-12-01,211.1,2001,12,20.0,609.0
2002-01-01,83.8,2002,1,11.0,221.2
2002-02-01,41.7,2002,2,2.0,50.8
2002-03-01,26.4,2002,3,8.0,55.6
2002-04-01,39.4,2002,4,13.0,116.5
2002-05-01,75.9,2002,5,13.0,236.6
2002-06-01,45.8,2002,6,12.0,83.1
2002-07-01,69.5,2002,7,11.0,233.7
2002-08-01,17.8,2002,8,14.0,54.2
2002-09-01,38.9,2002,9,9.0,124.2
2002-10-01,3.2,2002,10,7.0,10.8
2002-11-01,84.0,2002,11,15.0,307.2
2002-12-01,38.6,2002,12,24.0,255.0
2003-01-01,194.4,2003,1,20.0,444.2
2003-02-01,82.2,2003,2,13.0,172.9
2003-03-01,38.3,2003,3,11.0,154.6
2003-04-01,42.9,2003,4,20.0,159.9
2003-05-01,33.0,2003,5,11.0,81.8
2003-06-01,23.2,2003,6,12.0,50.3
2003-07-01,30.9,2003,7,14.0,170.4
2003-08-01,64.4,2003,8,13.0,193.6
2003-09-01,60.0,2003,9,15.0,205.3
2003-10-01,56.6,2003,10,21.0,351.4
2003-11-01,41.3,2003,11,19.0,133.8
2003-12-01,92.1,2003,12,17.0,273.0
2004-01-01,177.8,2004,1,13.0,600.9
2004-02-01,19.2,2004,2,4.0,31.9
2004-03-01,122.8,2004,3,16.0,269.4
2004-04-01,18.1,2004,4,9.0,57.1
2004-05-01,73.4,2004,5,13.0,137.6
2004-06-01,68.1,2004,6,8.0,127.2
2004-07-01,34.3,2004,7,20.0,166.6
2004-08-01,111.5,2004,8,8.0,185.2
2004-09-01,29.1,2004,9,14.0,128.9
2004-10-01,25.3,2004,10,13.0,125.6
2004-11-01,62.4,2004,11,15.0,166.2
2004-12-01,36.4,2004,12,14.0,139.8
2005-01-01,96.7,2005,1,8.0,163.2
2005-02-01,7.2,2005,2,3.0,8.4
2005-03-01,20.5,2005,3,12.0,82.4
2005-04-01,49.6,2005,4,10.0,81.7
2005-05-01,58.7,2005,5,20.0,331.1
2005-06-01,27.6,2005,6,15.0,82.3
2005-07-01,26.3,2005,7,15.0,104.0
2005-08-01,13.8,2005,8,13.0,58.5
2005-09-01,43.4,2005,9,18.0,175.7
2005-10-01,76.2,2005,10,19.0,314.5
2005-11-01,133.8,2005,11,23.0,362.9
2005-12-01,47.3,2005,12,19.0,166.0
2006-01-01,131.7,2006,1,20.0,454.4
2006-02-01,44.5,2006,2,8.0,115.5
2006-03-01,35.7,2006,3,9.0,83.1
2006-04-01,43.3,2006,4,18.0,239.8
2006-05-01,36.6,2006,5,14.0,205.7
2006-06-01,37.3,2006,6,16.0,236.8
2006-07-01,54.8,2006,7,15.0,153.8
2006-08-01,30.4,2006,8,14.0,127.3
2006-09-01,32.2,2006,9,12.0,83.3
2006-10-01,37.8,2006,10,8.0,102.0
2006-11-01,64.0,2006,11,18.0,185.6
2006-12-01,198.0,2006,12,22.0,765.9
2007-01-01,143.8,2007,1,20.0,450.1
2007-02-01,51.4,2007,2,3.0,105.5
2007-03-01,68.8,2007,3,21.0,269.1
2007-04-01,102.4,2007,4,14.0,240.2
2007-05-01,21.9,2007,5,16.0,127.2
2007-06-01,38.0,2007,6,12.0,139.0
2007-07-01,23.0,2007,7,19.0,141.7
2007-08-01,55.9,2007,8,20.0,190.7
2007-09-01,52.1,2007,9,13.0,149.0
2007-10-01,51.8,2007,10,16.0,237.2
